2023-12-01 15:51:59.395+0000 INFO  {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} jwt.auth.private_key=certificates/security.key.pem
2023-12-01 15:52:02.289+0000 INFO  CREATE USER neo4j PASSWORD ****** CHANGE NOT REQUIRED
2023-12-01 15:52:02.429+0000 INFO  CREATE ROLE admin
2023-12-01 15:52:02.430+0000 INFO  GRANT TRANSACTION MANAGEMENT ON DATABASE * TO admin
2023-12-01 15:52:02.433+0000 INFO  GRANT START ON DATABASE * TO admin
2023-12-01 15:52:02.433+0000 INFO  GRANT STOP ON DATABASE * TO admin
2023-12-01 15:52:02.433+0000 INFO  GRANT ALL ON DBMS TO admin
2023-12-01 15:52:02.433+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO admin
2023-12-01 15:52:02.433+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO admin
2023-12-01 15:52:02.433+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO admin
2023-12-01 15:52:02.433+0000 INFO  GRANT WRITE ON GRAPH * TO admin
2023-12-01 15:52:02.433+0000 INFO  GRANT MATCH {*} ON GRAPH * TO admin
2023-12-01 15:52:02.433+0000 INFO  GRANT ACCESS ON DATABASE * TO admin
2023-12-01 15:52:02.434+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO admin
2023-12-01 15:52:02.434+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO admin
2023-12-01 15:52:02.434+0000 INFO  CREATE ROLE architect
2023-12-01 15:52:02.434+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO architect
2023-12-01 15:52:02.434+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO architect
2023-12-01 15:52:02.434+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO architect
2023-12-01 15:52:02.434+0000 INFO  GRANT WRITE ON GRAPH * TO architect
2023-12-01 15:52:02.434+0000 INFO  GRANT MATCH {*} ON GRAPH * TO architect
2023-12-01 15:52:02.434+0000 INFO  GRANT ACCESS ON DATABASE * TO architect
2023-12-01 15:52:02.434+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO architect
2023-12-01 15:52:02.434+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO architect
2023-12-01 15:52:02.434+0000 INFO  CREATE ROLE publisher
2023-12-01 15:52:02.435+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO publisher
2023-12-01 15:52:02.435+0000 INFO  GRANT WRITE ON GRAPH * TO publisher
2023-12-01 15:52:02.435+0000 INFO  GRANT MATCH {*} ON GRAPH * TO publisher
2023-12-01 15:52:02.435+0000 INFO  GRANT ACCESS ON DATABASE * TO publisher
2023-12-01 15:52:02.435+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO publisher
2023-12-01 15:52:02.435+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO publisher
2023-12-01 15:52:02.435+0000 INFO  CREATE ROLE editor
2023-12-01 15:52:02.435+0000 INFO  GRANT WRITE ON GRAPH * TO editor
2023-12-01 15:52:02.435+0000 INFO  GRANT MATCH {*} ON GRAPH * TO editor
2023-12-01 15:52:02.435+0000 INFO  GRANT ACCESS ON DATABASE * TO editor
2023-12-01 15:52:02.435+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO editor
2023-12-01 15:52:02.435+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO editor
2023-12-01 15:52:02.435+0000 INFO  CREATE ROLE reader
2023-12-01 15:52:02.435+0000 INFO  GRANT MATCH {*} ON GRAPH * TO reader
2023-12-01 15:52:02.436+0000 INFO  GRANT ACCESS ON DATABASE * TO reader
2023-12-01 15:52:02.436+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO reader
2023-12-01 15:52:02.436+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO reader
2023-12-01 15:52:02.436+0000 INFO  CREATE ROLE PUBLIC
2023-12-01 15:52:02.436+0000 INFO  GRANT ACCESS ON HOME DATABASE TO PUBLIC
2023-12-01 15:52:02.436+0000 INFO  GRANT EXECUTE PROCEDURE * ON DBMS TO PUBLIC
2023-12-01 15:52:02.436+0000 INFO  GRANT EXECUTE FUNCTION * ON DBMS TO PUBLIC
2023-12-01 15:52:02.436+0000 INFO  GRANT ROLE admin TO neo4j
2023-12-01 15:52:03.741+0000 INFO  {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Log in attempted for user 'neo4j'.
2023-12-01 15:52:03.741+0000 ERROR {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Invalid serialized unsecured/JWS/JWE object: Missing part delimiters
2023-12-01 15:52:03.743+0000 INFO  [neo4j]: logged in
2023-12-01 15:52:05.257+0000 INFO  {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Log in attempted for user 'neo4j'.
2023-12-01 15:52:05.257+0000 ERROR {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Invalid serialized unsecured/JWS/JWE object: Missing part delimiters
2023-12-01 15:52:05.257+0000 INFO  [neo4j]: logged in
2023-12-01 15:52:06.296+0000 INFO  {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Log in attempted for user 'neo4j'.
2023-12-01 15:52:06.297+0000 ERROR {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Invalid serialized unsecured/JWS/JWE object: Missing part delimiters
2023-12-01 15:52:06.297+0000 INFO  [neo4j]: logged in
2023-12-01 15:58:18.516+0000 INFO  {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Log in attempted for user 'neo4j'.
2023-12-01 15:58:18.516+0000 ERROR {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Invalid serialized unsecured/JWS/JWE object: Missing part delimiters
2023-12-01 15:58:18.516+0000 INFO  [neo4j]: logged in
2023-12-01 15:58:18.542+0000 INFO  {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Log in attempted for user 'neo4j'.
2023-12-01 15:58:18.542+0000 ERROR {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Invalid serialized unsecured/JWS/JWE object: Missing part delimiters
2023-12-01 15:58:18.542+0000 INFO  [neo4j]: logged in
2023-12-01 15:58:18.606+0000 INFO  {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Log in attempted for user 'neo4j'.
2023-12-01 15:58:18.607+0000 ERROR {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Invalid serialized unsecured/JWS/JWE object: Missing part delimiters
2023-12-01 15:58:18.607+0000 INFO  [neo4j]: logged in
2023-12-01 15:58:18.705+0000 INFO  {plugin-com.neo4j.plugin.jwt.auth.JwtAuthPlugin} Log in attempted for user 'neo4j'.
2023-12-01 15:58:18.708+0000 INFO  [neo4j]: logged in
